Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 4,Consultation,FEVER,21,16,76,60,56,40,10,12,,,4,2,2,1,,,,4,1,3,,2,,2,,1,1,1,1,1,2,
2024 - 4,Consultation,VOMITING,19,17,48,58,27,21,10,3,2,7,1,6,3,2,3,2,1,,1,,,1,2,5,,,,2,1,2,,1
2024 - 4,Consultation,ABDOMINAL PAIN,,,15,16,32,24,7,6,3,8,7,9,1,11,2,5,2,4,1,2,1,3,2,2,,3,1,1,,2,1,2
2024 - 4,Consultation,LBM,11,16,43,27,8,6,1,2,3,1,2,3,,3,,3,,1,1,,,2,1,,,1,1,1,2,1,1,4
2024 - 4,Consultation,COUGH,25,14,34,21,16,6,1,,3,1,1,1,1,3,,3,,1,,2,,,1,,1,,2,1,1,2,2,
2024 - 4,Consultation,DOB,4,2,5,5,2,,3,3,5,6,6,8,1,2,1,2,,1,2,3,7,1,,5,4,1,3,6,6,7,18,10
2024 - 4,Consultation,DIZZINESS,,,1,,1,2,4,2,2,2,4,3,,3,3,5,,2,3,3,2,6,5,4,3,5,4,4,3,5,2,7
2024 - 4,Consultation,EPIGASTRIC PAIN,,,1,,1,3,3,4,7,4,3,8,1,5,6,9,2,4,1,3,1,2,1,8,2,,1,1,1,3,,3
2024 - 4,Consultation,LACERATED WOUND,,1,15,8,9,6,7,2,3,6,6,1,3,,,1,1,,2,1,3,,1,1,3,2,3,,,1,,1
2024 - 4,Consultation,CHEST PAIN,,,,,4,1,3,7,2,5,2,3,2,3,,3,4,2,4,1,3,4,1,3,3,2,1,,1,2,2,2
2024 - 4,Diagnosis,AGE,22,25,71,68,33,17,6,3,6,5,2,4,,4,3,4,1,1,2,1,1,2,,5,,1,,1,2,3,,5
2024 - 4,Diagnosis,PNEUMONIA,30,21,59,53,23,9,2,6,6,4,1,4,2,2,1,3,,2,,1,1,2,,1,2,3,3,2,2,4,7,13
2024 - 4,Diagnosis,UTI,4,6,22,15,15,23,7,11,4,11,2,11,2,15,1,9,3,4,,6,1,7,1,3,1,2,,3,2,3,2,4
2024 - 4,Diagnosis,ACID PEPTIC DISEASE,,,3,,6,3,2,6,8,6,6,5,1,8,3,7,3,5,1,1,1,4,,4,1,4,,,1,2,,1
2024 - 4,Diagnosis,ATP,,,12,7,21,21,6,3,4,,,3,1,2,,,,1,,,,,,1,,,2,,,,,
2024 - 4,Diagnosis,LACERATED WOUND,,,14,9,9,7,8,2,3,5,5,1,2,,,2,1,,3,1,2,,1,2,3,,2,,,1,,
2024 - 4,Diagnosis,SVI,4,8,13,10,13,5,5,4,2,1,1,,,,,,1,,1,,,,,1,,,,,,,,
2024 - 4,Diagnosis,HTN,,,1,,,,1,1,,,1,,,2,2,4,,3,3,7,3,7,1,6,2,4,3,6,3,,2,4
2024 - 4,Diagnosis,URTI,8,6,8,9,4,2,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
2024 - 4,Diagnosis,HSR,1,,5,4,,4,4,1,3,2,1,1,,1,,3,1,1,,1,1,,,1,,,2,,,,1,2
2024 - 4,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,1,1
2024 - 4,Mortality,DOA,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,2,
2024 - 4,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
2024 - 4,Mortality,OUT OF HOSPITAL CARDIAC ARREST,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
2024 - 4,Mortality,SEPTIC AND HYPOVOLEMIC SHOCK; PNEUMONIA- HIGH RISH CHRONIC LIVER DISEASE;URINARY TRACT  INFECTION;NO SWA,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2024 - 4,Mortality,CARDIOGENIC SHOCK SEC TO ACUTE MI CKD,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2024 - 4,Mortality,STILL BIRTH; EXTREME PREMATURITY; TOD: 1:00AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 - 4,Mortality,ARF CAP HR,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2024 - 4,Mortality,"ACUTE CVA (INFARCT) HYPERTENSIVE ATHEROSCLEROTIC CARDIOVASCULAR DISEASE 2YEARS, UROSEPSIS SEC TO COMPLICATED UTI TYPE 2 DM NON-COVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024 - 4,Mortality,PREMATURITY; NEONATAL SEPSIS; NON-INSTITUITIONAL DELIVERY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
