Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 8,Consultation,FEVER,1,,51,37,51,36,37,28,14,10,12,8,7,4,1,4,1,,1,5,1,1,3,2,,1,,3,1,2,22,24
2024 - 8,Consultation,DOB,1,,11,6,8,6,4,5,5,4,3,8,5,8,4,4,6,4,5,4,5,8,4,4,7,1,9,5,8,8,22,13
2024 - 8,Consultation,VOMITING,1,,21,24,25,18,6,8,3,6,3,11,1,5,2,4,,2,1,4,1,2,1,1,1,1,2,1,1,,10,8
2024 - 8,Consultation,ABDOMINAL PAIN,,,6,5,14,17,11,10,9,10,9,11,2,6,4,10,6,5,3,1,3,6,1,4,4,5,2,2,2,2,1,3
2024 - 8,Consultation,EPIGASTRIC PAIN,,,,,2,4,5,8,1,6,1,10,3,4,5,6,5,10,2,3,5,4,4,5,,1,2,2,,2,1,6
2024 - 8,Consultation,COUGH,1,1,23,17,5,9,,4,1,1,1,,1,,1,4,1,1,,2,,2,1,,,1,1,2,,1,14,7
2024 - 8,Consultation,DIZZINESS,,,,,1,,3,3,2,5,1,4,4,1,4,5,3,2,2,7,2,2,3,3,3,1,1,6,5,5,2,9
2024 - 8,Consultation,RASHES,1,,12,13,8,8,7,8,1,2,1,3,,1,1,1,2,1,1,,1,1,,,1,,1,,,,5,5
2024 - 8,Consultation,LBM,,1,22,8,6,2,5,2,5,1,1,,,4,3,,,2,,,,,,,,2,,,1,,10,7
2024 - 8,Consultation,SOB,1,,13,6,7,6,,1,4,7,3,1,2,3,,3,,2,3,,1,2,2,1,2,,,,,,7,3
2024 - 8,Diagnosis,UTI,,,6,9,11,16,7,14,5,8,4,18,4,15,1,14,1,6,,8,1,3,2,5,,3,3,9,,4,5,9
2024 - 8,Diagnosis,PCAP,1,1,53,48,21,25,7,7,6,3,,,,,,,,,,,,,1,,,,,,,,9,5
2024 - 8,Diagnosis,AGE,1,1,39,17,15,9,6,7,4,2,1,3,1,5,2,2,,3,,3,3,2,,2,2,1,,1,1,,19,12
2024 - 8,Diagnosis,ACID PEPTIC DISEASE,,,,,2,,4,6,5,6,9,18,1,7,5,15,7,7,2,4,5,7,5,4,,3,4,1,3,2,1,10
2024 - 8,Diagnosis,DFS,,,7,2,11,7,13,16,8,11,5,8,4,1,,1,1,,,2,,,,,1,,,,,,2,
2024 - 8,Diagnosis,CAP,,,,,,,,,,1,6,2,5,4,2,4,2,1,2,4,1,,4,5,1,,3,5,4,3,18,19
2024 - 8,Diagnosis,URTI,1,,15,5,11,9,9,10,3,2,1,3,2,1,,,,,,,,2,,,,,,,,,8,4
2024 - 8,Diagnosis,SVI,,,9,7,7,4,7,4,4,3,4,4,2,,,3,,,,1,,3,,,,,,,,,4,6
2024 - 8,Diagnosis,ATP,,,6,7,14,11,6,6,1,,7,1,2,1,2,,,,,,,,,,,,,1,,1,,
2024 - 8,Diagnosis,LACERATED WOUND,,,5,3,12,8,3,1,2,1,3,3,1,1,,1,2,,,1,1,,1,,,3,,,,1,2,
2024 - 8,Mortality,DEAD ON ARRIVAL,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,2,,1
2024 - 8,Mortality,ACUTE MYOCARDIAL INFARCTION ,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,
2024 - 8,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1
2024 - 8,Mortality,ACUTE RESPIRATORY FAILURE,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
2024 - 8,Mortality,CARDIOGENIC SHOCK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2024 - 8,Mortality,PTB; HYPOVOLEMIC SHOCK,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2024 - 8,Mortality,UNDETERMINED CAUSE OF DEATH,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024 - 8,Mortality,HEPATIC ENCEPHALOPATHY SECONDARY TO DECOMPENSATED LIVER CIRRHOSIS. UPPER GI BLEEDING PROBABLY SECONDARY TO BLEEDING ESOPHAGEAL VARICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024 - 8,Mortality,FATAL ARRHYTHMIA CAP HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
