Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 12,Consultation,FEVER,25,18,97,76,101,118,89,63,45,30,25,27,9,9,2,7,6,1,3,3,3,3,3,,1,2,,1,2,1,7,3
2024 - 12,Consultation,COUGH,34,25,35,28,30,18,5,7,5,3,6,1,4,1,1,3,1,3,1,2,1,,1,,,,,,,3,9,5
2024 - 12,Consultation,ABDOMINAL PAIN,,,7,9,30,21,9,18,5,15,2,12,7,9,4,7,1,11,2,1,4,3,1,3,3,2,3,1,1,1,3,3
2024 - 12,Consultation,DOB,11,5,8,9,9,2,3,9,2,5,5,5,3,3,4,2,1,2,6,1,7,9,5,2,8,4,9,5,6,12,12,18
2024 - 12,Consultation,VOMITING,5,3,34,26,30,26,16,8,2,9,2,3,3,2,1,2,1,1,,1,3,3,,1,2,2,,,,,2,2
2024 - 12,Consultation,RASHES,2,7,16,9,17,12,9,6,2,4,1,5,1,3,1,3,2,3,1,3,,,2,1,,2,2,,,,,3
2024 - 12,Consultation,EPIGASTRIC PAIN,,,,,4,4,6,5,5,12,2,12,6,11,3,12,,4,1,4,1,2,2,7,2,2,,3,1,1,1,2
2024 - 12,Consultation,DIZZINESS,,,,,1,2,3,2,3,4,1,3,4,3,2,5,1,3,4,2,6,8,4,5,4,5,3,10,2,4,10,10
2024 - 12,Consultation,LACERATED WOUND,,,9,5,21,4,10,,5,3,5,2,9,1,4,2,3,1,3,1,1,,4,1,1,,,,,,,2
2024 - 12,Consultation,SOB,5,6,16,13,2,4,1,3,1,1,3,2,,,3,2,,,,2,3,3,,5,4,3,3,,1,1,6,
2024 - 12,Diagnosis,DENGUE FEVER,1,2,12,7,43,43,60,38,28,19,13,15,5,1,2,1,2,,2,,,,1,2,,1,,,,,1,
2024 - 12,Diagnosis,PCAP,36,32,50,52,14,12,5,4,2,4,,,,,,,,,,,,,,,,,,,,,2,1
2024 - 12,Diagnosis,URINARY TRACT INFECTION,,1,3,12,11,17,5,7,2,30,3,12,3,16,1,5,2,11,1,6,1,5,,7,1,5,,,2,,3,6
2024 - 12,Diagnosis,ACUTE GASTROENTERITIS,10,5,17,14,16,6,3,4,2,1,1,2,3,3,,8,,,1,1,,1,1,1,2,1,1,1,,1,1,2
2024 - 12,Diagnosis,LACERATED WOUND,,,11,3,20,6,9,,3,3,4,2,6,1,4,1,3,1,2,1,1,1,2,2,1,,,,,,,3
2024 - 12,Diagnosis,SVI,,2,8,10,12,7,12,3,5,2,4,2,3,3,,,1,1,2,1,,1,1,,1,,,,1,,1,
2024 - 12,Diagnosis,HYPERTENSIVE URGENCY,,,,,,1,1,,,,,1,,1,3,4,1,2,4,4,3,8,3,4,5,4,4,5,,8,1,6
2024 - 12,Diagnosis,CAP,,,,,,,,,,,4,4,3,1,1,,2,,2,1,2,2,4,2,5,1,5,2,4,4,9,13
2024 - 12,Diagnosis,URTI,6,2,11,2,9,5,6,4,1,4,,1,2,2,,1,,1,1,,,,,,,,,2,1,,3,2
2024 - 12,Diagnosis,ACID PEPTIC DISEASE,,,,,2,,1,1,,2,4,6,3,3,2,10,1,3,2,2,,7,3,3,,2,1,1,1,1,,1
2024 - 12,Mortality,DEAD ON ARRIVAL,,1,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,,,,2,2
2024 - 12,Mortality,ACUTE RESPIRATORY FAILURE,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,2
2024 - 12,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,
2024 - 12,Mortality,CARDIOGENIC SHOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
2024 - 12,Mortality,"BRAIN HERNIATION SYNDROME ACUTE INTRACRANIAL HEMORRHAGE, PONTINE HYPERTENSION STAGE 2",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2024 - 12,Mortality,RESPIRATORY FAILURE SEC. TO ACUTE INTRA CEREBRAL HEMORRHAGE PRONOUNCED DR MENDOZA; TIME OF DEATH 12/05/2024 05:37PM,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2024 - 12,Mortality,PTB RADIOLOGICALLY DIAGNOSED; PNEUMOTHORAX RIGHT,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2024 - 12,Mortality,HYPOVOLEMIC SHOCK; CAP-HR; BRONCHIECTASIS; COPD; COVID PROBABLE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2024 - 12,Mortality,ANEMIA SEVERE SEC TO UGIB; PLEURAL EFFUSION SEC TO CAP-HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024 - 12,Mortality,PNEUMONIA SEVER RESPIRATORY FAILURE SEC TO PNEUMONIA SEVERE CP QUADRIPLEGIA,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
