Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 2,Consultation,FEVER,26,14,87,58,56,47,24,11,4,9,6,7,1,5,3,3,,3,2,3,,4,1,1,,1,2,,,,4,1
2024 - 2,Consultation,VOMITING,23,20,82,78,34,32,12,5,5,8,1,8,1,2,3,3,1,,,,,,,1,2,1,1,,1,1,1,4
2024 - 2,Consultation,COUGH,53,28,38,39,21,25,4,8,5,4,2,4,3,1,1,3,,3,2,1,1,,,2,,,1,2,,3,3,2
2024 - 2,Consultation,LBM,32,28,42,34,11,6,8,,2,4,,1,,2,2,1,,7,2,,,,,,2,1,2,2,1,,1,2
2024 - 2,Consultation,ABDOMINAL PAIN,,,9,12,30,17,13,12,7,8,5,12,2,10,1,4,4,4,3,4,4,2,2,4,2,3,2,3,2,1,,3
2024 - 2,Consultation,DOB,10,2,7,5,4,6,1,7,1,3,3,3,2,3,3,,3,1,6,,1,4,5,3,8,5,1,10,3,6,20,18
2024 - 2,Consultation,EPIGASTRIC PAIN,,,,1,3,2,4,3,2,7,5,9,6,7,2,6,3,2,2,2,1,3,,3,2,2,1,1,,,1,5
2024 - 2,Consultation,DIZZINESS,,,,,,2,4,2,1,,1,1,,1,1,5,1,2,3,2,5,6,,6,3,4,,4,4,8,8,6
2024 - 2,Consultation,BODY WEAKNESS,,,2,,,,1,2,,1,3,1,1,,2,2,2,1,3,1,2,3,4,6,1,1,7,2,3,2,5,12
2024 - 2,Consultation,CHEST PAIN,,,1,,1,3,3,3,3,3,2,4,,2,2,3,4,2,,2,1,2,4,,4,1,5,1,1,5,1,4
2024 - 2,Diagnosis,OPD,75,52,184,166,128,111,61,51,29,34,23,40,16,26,18,19,9,21,18,14,12,19,5,19,7,11,11,6,13,7,13,10
2024 - 2,Diagnosis,AGE,28,24,50,38,17,5,5,1,,2,1,1,3,2,3,,,,1,,,,,,1,2,2,2,1,1,1,2
2024 - 2,Diagnosis,PCAP,43,19,41,24,16,17,1,2,,1,1,,,,,,,,,,,,,,,,,,,,6,3
2024 - 2,Diagnosis,UTI,4,2,7,12,5,9,1,2,1,6,,13,,3,,3,,3,2,3,2,5,1,1,,4,2,2,1,2,,3
2024 - 2,Diagnosis,HTN,,,,,,,,1,,,,,,,1,5,,3,1,7,5,6,1,3,3,,2,,1,6,4,10
2024 - 2,Diagnosis,LACERATED WOUND,1,,5,2,9,3,10,2,3,2,1,2,5,1,2,1,1,2,,1,,,,2,1,,,,1,,,1
2024 - 2,Diagnosis,CAP,,1,,,,,,,,1,,1,1,1,1,,4,,,2,,,,2,2,,,3,1,4,10,19
2024 - 2,Diagnosis,APD,,,,,1,,,2,1,3,2,2,1,1,,4,,3,1,2,1,3,1,1,1,1,,2,,2,,8
2024 - 2,Diagnosis,ACUTE GASTRITIS,2,,4,8,6,2,2,,2,,,2,,,3,2,,,,,1,,,1,,,,1,,,,
2024 - 2,Diagnosis,CONTUSION,,2,6,1,5,3,2,1,1,,,,1,,,,,1,,,,,,,,1,,1,,,,4
2024 - 2,Mortality,DOA,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,1,,,,2,2,
2024 - 2,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,
2024 - 2,Mortality,SEPTIC SHOCK,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
2024 - 2,Mortality,CARDIAC ARREST,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2024 - 2,Mortality,ACUTE MYOCARDIAL ISCHEMIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2024 - 2,Mortality,ACUTE PANCREATITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2024 - 2,Mortality,PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
