Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2023 - 7,Consultation,FEVER,35,23,85,74,51,44,20,9,5,10,4,3,3,2,2,3,1,3,3,1,,3,,1,,2,,1,1,2,2,6
2023 - 7,Consultation,VOMITING,13,4,35,30,25,11,7,4,2,4,4,3,1,,,2,,,1,2,,,2,3,1,2,2,1,1,1,,1
2023 - 7,Consultation,ABDOMINAL PAIN,,,10,6,22,17,5,3,3,5,7,7,2,9,5,3,1,,2,3,3,3,4,3,,3,1,2,1,2,2,2
2023 - 7,Consultation,DOB,6,3,5,7,3,2,2,4,3,2,,3,,3,1,2,2,2,2,3,3,1,4,3,9,4,8,3,4,4,6,12
2023 - 7,Consultation,COUGH ,19,13,22,11,14,17,2,3,1,2,,1,,1,,,,1,,2,,1,,1,,1,,,,1,1,
2023 - 7,Consultation,EPIGASTRIC PAIN,,,2,1,2,3,4,5,2,3,5,13,6,7,1,5,1,3,3,2,1,1,,,,4,1,1,,4,,3
2023 - 7,Consultation,DIZZINESS,,,,1,,,2,,1,2,2,3,3,4,2,2,,2,1,5,2,5,1,1,,3,3,10,3,2,2,8
2023 - 7,Consultation,FALL,4,2,21,11,5,5,4,1,,1,1,1,,,1,,,,,,,,2,,,1,,,,2,1,1
2023 - 7,Consultation,LBM,9,10,10,9,4,2,2,,1,1,,1,,2,2,1,,2,1,,2,,,,,,1,,,,2,1
2023 - 7,Consultation,LACERATED WOUND,2,,7,1,9,1,6,,2,,4,1,2,,6,1,3,,,1,,,1,,1,,,1,1,,2,
2023 - 7,Diagnosis,CAP,17,14,29,26,7,7,1,3,2,2,,2,,,2,,1,,2,7,2,2,4,2,7,3,5,3,7,3,9,17
2023 - 7,Diagnosis,AGE,16,10,27,23,9,5,6,1,1,2,2,1,,3,1,4,,2,3,2,1,2,,2,1,1,2,1,,,2,3
2023 - 7,Diagnosis,UTI,5,2,,14,5,7,5,6,,5,,8,,8,2,3,,6,2,6,1,2,,3,2,2,,1,,,,2
2023 - 7,Diagnosis,ACUTE GASTRITIS,4,,14,8,13,7,5,1,2,2,3,1,1,2,,2,,1,,,,,1,,,2,,,,1,,
2023 - 7,Diagnosis,LACERATED WOUND,,,15,4,9,4,7,,,,4,2,3,,6,1,2,,,,,,1,,1,,,2,1,,2,
2023 - 7,Diagnosis,HYPERSENSITIVITY REACTION ,2,,2,,2,,3,2,,,1,3,1,2,1,,,,,2,,1,1,,,3,,2,,,,1
2023 - 7,Diagnosis,BFC,,,18,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 7,Diagnosis,CONTUSION HEMATOMA,,,6,5,1,2,1,2,,,,,1,,,,,,,1,,,1,,,1,,,,1,1,
2023 - 7,Diagnosis,HYPERTENSIVE URGENCY,,,,,,,,,,,,,,,1,,,1,,2,,,2,4,,3,,1,1,1,1,5
2023 - 7,Diagnosis,ACUTE APPENDICITS,,,,,2,,3,,3,3,1,2,2,,2,,1,1,,,,,,1,,,,1,,,,
2023 - 7,Mortality,OUT OF HOSPITAL CARDIAC ARREST; NON COVID ,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,
2023 - 7,Mortality,ACUTE MYOCARDIAL INFARCTION; NON COVID (RAT NEGATIVE),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1
2023 - 7,Mortality,DOA,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2023 - 7,Mortality,SEPTIC SHOCK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
2023 - 7,Mortality,"PCAP-D, T/C ASPIRATION PNEUMONIA SEVERE MALNUTRITION , SEVERE HYPGLYCEMIA HYPOVOLEMIC SHOCK RAT(-)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 7,Mortality,MASSIVE INTRACRANIAL HEMORRHAGE; NON COVID ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2023 - 7,Mortality,"IMPENDING RESPIRATORY FAILURE SEC. PNEUMONIA, PLEURAL EFFUSION VS MALIGNANCY CA",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2023 - 7,Mortality,"CARDIOPULMUNARY FAILURE, MYOCARDITIS, CONGENITAL HEART DISEASE, COVID PROBABLE",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 7,Mortality,"ARF TYPE II SECONDARY TO CAP HR,TB BRONCHIECTASIS T/C PTB RELAPSE AF IN IVR SECONDARY TO SEPSIS ASCVD CAD COVID NEGATIVE (7/21/23)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023 - 7,Mortality,T/C PULMONARY HEMORRHAGE VS. UPPER GASREOINTESTINAL BLEED PROB SEC TO LIVER PATHOLOGY T/S LOWER MOTOR NEURON DISEASE (DEAD ON ARRIVAL),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
