Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2023 - 6,Consultation,FEVER,47,23,183,149,104,88,40,32,7,5,7,9,5,4,1,2,,2,4,,1,,1,1,1,1,,1,1,5,2,2
2023 - 6,Consultation,ABDOMINAL PAIN,2,,17,5,31,14,8,9,1,11,1,22,3,11,4,10,2,4,5,1,2,4,2,,5,3,1,3,2,,,5
2023 - 6,Consultation,COUGH AND COLDS,21,6,29,24,14,24,10,5,7,,,2,1,2,3,1,1,2,1,,1,1,,2,,1,,1,2,2,1,4
2023 - 6,Consultation,VOMITING,12,3,38,23,25,15,9,5,2,1,2,1,2,2,1,,,,1,1,2,,2,,1,,,3,,1,2,3
2023 - 6,Consultation,DOB,4,1,4,4,4,1,1,6,2,3,,2,2,,1,,2,2,5,2,2,2,6,1,7,5,9,5,9,4,10,12
2023 - 6,Consultation,UPWARD ROLLING OF EYEBALLS,2,,46,29,5,1,1,2,,,,2,,,,,,,,1,1,,,,,,,,,,,
2023 - 6,Consultation,DIZZINESS,,,,2,,5,6,4,1,1,1,3,2,2,,3,2,2,3,4,,4,3,1,3,3,2,3,3,3,2,6
2023 - 6,Consultation,LBM,6,7,19,11,5,1,,,1,1,,3,,1,,2,2,1,,1,,,,,1,,1,,1,,,3
2023 - 6,Consultation,LACERATED WOUND,,,8,7,8,4,11,2,3,,3,1,2,1,2,,,1,1,,1,1,,,,1,3,,1,1,,1
2023 - 6,Consultation,EPIGASTRIC PAIN,,,,,3,,8,2,4,2,1,3,2,5,4,7,,4,,2,2,2,1,3,1,,1,,,2,1,1
2023 - 6,Diagnosis,UTI,6,1,8,19,9,24,3,14,2,4,1,10,1,9,1,6,,8,1,6,2,6,,3,,3,2,2,3,3,,2
2023 - 6,Diagnosis,SVI,4,2,24,16,16,13,6,2,,1,2,1,,1,1,1,,1,,1,,,,,1,,,,1,,1,
2023 - 6,Diagnosis,ACUTE GASTRITIS,1,,16,4,16,13,2,4,1,3,1,2,2,1,,1,,3,,,1,,1,,1,1,,2,,3,,1
2023 - 6,Diagnosis,AGE,8,5,25,14,3,6,3,1,,2,,4,,1,,1,1,,1,,1,,,,,,,,,,2,
2023 - 6,Diagnosis,DENGUE FEVER,1,1,6,10,9,6,10,4,2,2,4,,,,1,,,,2,1,3,1,,,,,,,,1,,1
2023 - 6,Diagnosis,LACERATED WOUND,,,11,5,9,4,10,1,4,1,2,1,3,1,2,,,1,,,2,1,1,,,1,3,1,1,,,
2023 - 6,Diagnosis,BFC,1,2,30,20,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 6,Diagnosis,URTI,2,,12,9,10,4,1,1,1,3,2,3,1,2,,,1,1,,1,1,,,,,1,,1,,,,
2023 - 6,Diagnosis,PCAP A,4,4,14,8,5,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 6,Diagnosis,PTB,,,,2,,,,,,,1,1,1,,3,,1,,,1,,1,2,3,4,,,4,3,,3,3
2023 - 6,Mortality,DOA ,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,2
2023 - 6,Mortality,CVD INFARCT,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,
2023 - 6,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2023 - 6,Mortality,"SEPTIC SHOCK, CAP HR",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
2023 - 6,Mortality,"DKA, DMT2 ",,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
2023 - 6,Mortality,HYPERTENSIVE URGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2023 - 6,Mortality,"ICOD: ACUTE RESPIRATORY FAILURE ACOD: PULMONARY EMBOLISM, UCOD: ENDOMETRIAL CANCER, OTHERS: COVID PROBABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2023 - 6,Mortality,ASPIRATION PNUEMONIA; COVID PROBABLE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 6,Mortality,CAP-HR; HPN; COVID PROBABLE (RAT NEGATIVE),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2023 - 6,Mortality,CAP MR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
