Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,PASIG CITY CHILDREN'S HOSPITAL/PASIG CITY COVID-19 REFERRAL CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTHLY CENSUS REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AREA: EMERGENCY ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTH AND YEAR: JUNE 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOP 10 LEADING CASES OF CONSULTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & OVER,,Grand Total,,
,,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,Grand Total
1.0,FEVER,14,14,50,37,25,21,9,7,4,7,9,2,2,,4,1,1,1,2,,,1,,,,2,2,1,1,,,1,114,95,209
2.0,VOMITING,13,8,39,31,22,16,3,3,1,3,3,1,1,3,,1,,2,,,,3,,2,1,1,,1,,1,,3,80,79,159
3.0,ABDOMINAL PAIN,,,17,14,19,11,8,9,2,6,1,9,3,3,2,3,4,4,3,7,,,3,2,,,3,3,1,2,3,2,61,75,136
4.0,DOB,3,2,6,4,2,1,1,1,1,3,2,8,1,2,7,3,1,4,2,3,6,5,3,6,4,6,4,6,4,6,9,12,55,72,127
5.0,LBM,20,7,32,15,5,1,1,,,,2,2,1,2,,,,2,1,,2,,,1,1,1,1,1,,,1,1,66,33,99
6.0,LACERATED WOUND,1,,13,7,10,4,9,3,5,1,4,1,2,2,1,2,2,1,1,,2,2,3,1,1,,,2,3,1,,2,48,29,77
7.0,EPIGASTRIC PAIN,,,,,7,1,1,2,3,3,2,4,1,4,1,7,4,6,1,2,2,4,1,,1,3,3,3,,3,,5,26,47,73
8.0,DIZZINESS,,,,,1,1,,,,5,4,2,,1,3,3,,,2,6,4,1,2,4,2,3,1,8,5,7,3,5,27,46,73
9.0,COUGH,9,9,13,9,4,7,1,2,1,,3,1,,1,,4,,1,,1,,,,1,,,,,,1,,2,30,39,69
10.0,CHEST PAIN,,,,,1,1,3,1,2,2,3,3,5,1,1,3,1,3,3,,1,5,,2,2,,2,,4,1,4,,29,22,51
,TOTAL,60,40,170,117,96,64,36,28,19,30,33,33,16,19,19,27,13,24,15,19,17,21,12,19,12,16,16,25,18,22,20,33,536,537,1073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASIG CITY CHILDREN'S HOSPITAL/PASIG CITY COVID-19 REFERRAL CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTHLY CENSUS REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AREA: EMERGENCY ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTH AND YEAR: JUNE 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOP 10 LEADING DIAGNOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & OVER,,Grand Total,,
,,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,Grand Total
1.0,AGE,23,13,58,28,15,7,4,2,1,1,5,3,4,4,1,2,,3,,2,1,1,,1,,,2,3,,2,3,,113,72,185
2.0,PNEUMONIA,17,17,31,27,10,10,1,4,4,1,2,5,1,1,1,6,,3,1,1,4,1,1,3,5,1,2,2,3,2,7,8,89,92,181
