Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 3,Consultation,FEVER,24,21,75,55,56,54,19,15,2,3,1,4,2,3,1,1,1,1,1,1,,1,,,1,1,,1,1,3,,4
2024 - 3,Consultation,VOMITING,19,13,49,53,32,28,4,11,2,1,,4,,3,,1,,2,,2,,,1,,,5,,1,1,,,5
2024 - 3,Consultation,COUGH,37,27,39,36,29,12,7,9,2,3,,1,1,,1,2,2,2,2,2,3,,1,4,1,3,2,,1,,2,3
2024 - 3,Consultation,ABDOMINAL PAIN,1,,12,15,27,19,6,5,5,7,10,10,3,6,2,5,,3,3,4,1,1,1,3,3,2,1,3,2,1,4,6
2024 - 3,Consultation,LBM,17,19,33,34,12,4,,1,1,3,,1,,,,2,,1,2,2,,,2,1,1,1,,,,,1,2
2024 - 3,Consultation,DOB,6,4,8,6,4,3,,4,2,3,3,4,2,3,1,2,2,1,3,4,2,3,1,3,1,2,2,1,4,5,10,14
2024 - 3,Consultation,DIZZINESS,,,,,,1,1,3,1,2,1,5,3,4,,5,2,4,5,7,3,7,3,3,5,3,4,4,2,7,4,14
2024 - 3,Consultation,EPIGASTRIC PAIN,1,,1,,7,2,6,3,1,6,6,6,1,12,3,4,3,4,3,3,3,4,2,4,,2,,3,1,3,2,2
2024 - 3,Consultation,CHEST PAIN,,,,,1,3,1,3,2,,4,8,2,5,3,2,1,,2,5,2,5,1,2,3,1,5,3,3,4,3,2
2024 - 3,Consultation,SOB,6,1,9,11,1,5,2,3,1,2,,2,1,1,,4,1,1,,1,1,,,3,2,,3,,3,,1,2
2024 - 3,Diagnosis,PNEUMONIA,35,23,32,24,11,9,2,1,3,2,2,1,1,,2,1,2,,2,1,1,4,,4,,2,,2,2,2,4,10
2024 - 3,Diagnosis,AGE,23,19,33,33,13,8,3,1,1,1,,2,1,,2,2,,4,1,6,,,,,,3,,,,,,1
2024 - 3,Diagnosis,UTI,1,3,6,10,8,14,5,6,1,2,1,12,,7,,2,,5,,2,1,2,,5,1,3,3,2,1,2,2,12
2024 - 3,Diagnosis,LACERATED WOUND,,,8,4,11,5,6,3,4,,6,1,1,2,1,,1,2,1,,2,2,2,1,,,2,1,,,,2
2024 - 3,Diagnosis,FRACTURE,1,1,5,1,2,5,4,4,3,2,2,,2,2,,1,3,1,1,,1,,,,3,2,,,,,,1
2024 - 3,Diagnosis,BAIAE,1,,5,6,5,2,1,1,,1,1,4,,,,1,1,1,1,,,1,,3,1,1,1,,1,1,,1
2024 - 3,Diagnosis,HSR,2,,2,2,7,2,1,1,2,2,1,2,1,,1,1,2,,,1,,,,,,1,,,1,,1,1
2024 - 3,Diagnosis,ACUTE GASTRITIS,,1,2,6,9,2,2,2,,1,2,3,,1,,,,1,,,,,,,1,,,,,,,
2024 - 3,Diagnosis,ACS,,,,,,,,,,,,,1,,,,1,,,1,2,,3,,1,,4,1,1,1,6,2
2024 - 3,Diagnosis,ABRASION,,,3,2,2,1,1,1,1,1,2,1,1,2,2,,,,,,1,1,,,,1,,,,,,
2024 - 3,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,
2024 - 3,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2024 - 3,Mortality,ASPIRATION PNEUMONIA; CEREBRAL PALSY SPASTIC QUADRIPLEGIC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 - 3,Mortality,DOA,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2024 - 3,Mortality,"PRESUMED TRAUMATIC BRAIN INJURY SECONDARY TO ALLEGED BLUNT TRAUMA TO THE HEAD; MULTIPLE PHYSICAL INJURIES
",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 - 3,Mortality,BRAIN HERNIATION SECONDARY TO TRAUMATIC BRAIN INJURY SECONDARY TO MOTORVEHICULAR ACCIDENT,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2024 - 3,Mortality,ARF SEC TO PULMONARY TUBERCULOSIS RULE OUT PULMONARY MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024 - 3,Mortality,BRAIN STEM FAILURE SECONDARY TO HYPERTENSIVE CVD BLEED,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2024 - 3,Mortality,"ACUTE CORONARY SYNDROME, SEPTIC SHOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024 - 3,Mortality,CARDIOGENIC SHOCK SEC. TO ACS NSTEMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
