Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2023 - 5,Consultation,FEVER,32,23,95,78,67,51,21,9,6,3,3,6,1,1,1,4,2,1,2,1,,,,1,,,,1,,,1,1
2023 - 5,Consultation,VOMITING,14,7,45,40,18,20,5,4,2,4,1,2,,1,,2,,,,,,1,1,1,1,1,,2,1,,2,6
2023 - 5,Consultation,ABDOMINAL PAIN,1,,12,6,22,20,9,8,5,9,4,6,1,9,3,5,1,5,1,2,2,5,5,,2,5,,2,1,2,3,4
2023 - 5,Consultation,DOB,2,3,4,4,2,1,3,5,2,3,1,1,4,3,1,1,1,2,1,5,1,,7,1,6,5,3,6,3,8,13,5
2023 - 5,Consultation,LBM,15,7,29,14,3,2,3,,,1,1,2,1,2,,2,1,2,,3,,1,,,,1,,1,3,1,1,1
2023 - 5,Consultation,COUGH,14,9,15,9,8,2,4,2,1,1,2,1,,3,2,1,2,1,2,3,,1,1,1,1,1,,1,1,,2,
2023 - 5,Consultation,DIZZINESS,,,,,1,2,2,2,1,1,1,4,,3,3,,1,4,1,6,4,5,,2,2,6,4,5,5,5,4,3
2023 - 5,Consultation,FALL,3,2,13,6,9,7,3,2,,1,,1,1,1,,1,1,1,,1,,1,1,2,2,,,1,,2,,2
2023 - 5,Consultation,LACERATED WOUND,2,,11,3,13,5,4,1,7,,1,,2,1,1,1,1,2,1,,,,1,,,2,,,,,2,
2023 - 5,Consultation,SOB,1,,4,2,1,6,2,4,,4,,2,1,1,1,1,,4,,,,1,3,3,2,2,,1,,,7,5
2023 - 5,Diagnosis,AGE,20,10,46,31,15,10,5,3,1,1,1,4,1,2,,1,,1,,3,2,,1,,,2,,1,1,,1,
2023 - 5,Diagnosis,UTI,1,3,8,14,15,26,3,3,1,13,1,7,1,7,,6,,3,2,2,,4,,1,,,,5,,2,2,2
2023 - 5,Diagnosis,LACERATION,2,,13,2,14,6,6,1,3,,1,1,2,1,1,1,1,1,2,,,,1,,,2,,,,,2,
2023 - 5,Diagnosis,PCAP-A,6,10,14,3,6,4,2,1,1,2,,,,,,,,1,,,,,,,,,1,,,,,
2023 - 5,Diagnosis,ACUTE GASTRITIS,3,,5,9,7,5,2,1,1,1,1,2,2,1,1,,,2,,,,,,,,,1,,,,1,3
2023 - 5,Diagnosis,PCAP-B,2,2,11,11,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,
2023 - 5,Diagnosis,ATP,,1,7,2,6,7,4,1,,,,3,1,1,,,1,,,,,,,,,,,,,,,
2023 - 5,Diagnosis,URTI,2,3,10,3,3,4,,2,,1,,1,,1,1,1,,,,1,,,,,,,,,,,,
2023 - 5,Diagnosis,PCAP-C,6,4,10,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 5,Diagnosis,SVI,4,,5,8,3,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2023 - 5,Mortality,DOA,,3,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1
2023 - 5,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,
2023 - 5,Mortality,"SEPTIC SHOCK, CAP-HR ON TOP OF ASPIRATION, PNEUMONIA, CHRONIC CVD INFARCT, COVID 19 SUSPECT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023 - 5,Mortality,"MULTIPLE ORGAN DYSFUNCTION SYNDROME DISSEMINATED INTRAVASCULAR COAGULOPATHY SEPSIS SEVERE PNEUMONIA, HEMOLYTIC DISEASE OF THE NEW BORN",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 5,Mortality,"ARF SEC. TO PULMONARY CONGESTION, MASSIVE PLEURAL EFFUSION, LEFT, CKD 5 ON HD, COVID NEGATIVE",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2023 - 5,Mortality,"SUBDURAL HEMATOMA SECONDARY TO ACCIDENTAL FALL, COVID NEGATIVE",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2023 - 5,Mortality,ACUTE GASTROENTERITIS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 5,Mortality,"INTRACRANIAL HAEMORRHAGE (NONTRAUMATIC), UNSPECIFIED ; ACUTE ISCHAEMIC HEART DISEASE, UNSPECIFIED ; ACUTE SUBENDOCARDIAL MYOCARDIAL INFARCTION ; POSITIVE COVID PATIENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
