Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 5,Consultation,FEVER,17,18,49,69,33,29,11,9,4,4,3,5,5,1,1,,,1,,1,,,,1,1,1,,3,,2,1,3
2024 - 5,Consultation,VOMITING,11,10,37,35,22,14,11,8,,4,3,4,2,4,2,,,2,,2,,1,,1,,2,1,1,1,2,1,2
2024 - 5,Consultation,ABDOMINAL PAIN,,1,11,7,22,11,12,9,2,9,4,10,2,7,5,5,6,4,6,4,3,3,2,1,1,4,2,4,1,,3,5
2024 - 5,Consultation,DOB,2,1,9,3,1,1,2,4,2,4,5,4,2,5,3,3,2,3,2,3,4,4,,1,8,8,4,5,5,3,11,8
2024 - 5,Consultation,COUGH,27,16,16,10,9,4,2,2,1,1,5,2,,7,,2,,1,,1,,1,1,,,1,,1,1,,3,2
2024 - 5,Consultation,LBM,17,6,31,18,3,4,2,3,,1,1,3,,,,3,,3,,3,1,,,1,1,,,1,,,1,
2024 - 5,Consultation,EPIGASTRIC PAIN,,,,1,1,1,2,6,4,7,3,2,7,8,2,7,2,6,2,6,1,4,,2,1,3,2,2,,2,1,4
2024 - 5,Consultation,LACERATED WOUND,,,11,5,15,7,5,1,4,2,6,1,,2,4,,3,4,3,4,2,1,1,,,1,2,1,,3,1,1
2024 - 5,Consultation,BODY WEAKNESS,,,1,,,,1,1,6,2,3,1,4,,2,2,1,2,1,2,6,1,6,4,4,6,3,1,2,4,6,9
2024 - 5,Consultation,DIZZINESS,,,,,1,,1,1,1,1,1,4,3,3,,2,,4,,4,2,7,4,2,2,6,2,8,2,4,4,4
2024 - 5,Diagnosis,PNEUMONIA,35,21,50,35,21,9,4,2,2,5,7,2,1,7,,5,3,4,1,3,4,5,4,3,5,7,4,6,6,6,17,14
2024 - 5,Diagnosis,UTI,4,8,16,22,15,22,7,10,5,15,6,23,5,8,2,10,1,9,5,7,1,3,5,4,3,6,3,7,2,5,3,17
2024 - 5,Diagnosis,AGE,25,9,50,46,12,10,6,3,1,2,2,3,2,3,1,2,1,4,1,2,,1,,2,,,,2,,1,3,3
2024 - 5,Diagnosis,APD,,,,,3,3,10,11,2,6,5,5,8,10,7,5,6,5,1,6,4,5,1,3,1,3,1,6,,1,,3
2024 - 5,Diagnosis,ATP,1,,20,20,24,8,8,3,1,1,2,2,2,1,,,,,,,,,,1,,,,,,,,
2024 - 5,Diagnosis,LACERATED WOUND,,,9,5,15,6,2,,3,2,4,1,,2,2,,3,4,1,,4,,1,,,1,1,,,1,1,1
2024 - 5,Diagnosis,HTN,,,,,,,,,1,,1,1,1,,,,2,3,1,7,1,2,2,2,2,7,5,6,5,2,3,7
2024 - 5,Diagnosis,SVI,4,3,8,8,10,6,4,1,3,1,2,1,1,1,1,,,,,,,,1,,,,,1,,,,
2024 - 5,Diagnosis,CVD INFARCT,,,,,,,,,,,,1,,1,,,,,2,3,6,2,2,3,5,6,6,1,1,3,7,3
2024 - 5,Diagnosis,FRACTURE,,,2,1,4,3,2,5,4,1,1,,,1,2,1,3,1,2,1,1,,,2,,,,,,3,1,1
2024 - 5,Mortality,PNEUMONIA,,,2,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,2,
2024 - 5,Mortality,DOA,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,2,2
2024 - 5,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
2024 - 5,Mortality,"HYPOVOLEMIC SHOCK PROBABLY SEC TO TUMOR BLEED, ACUTE PULMONARY CONGESTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2024 - 5,Mortality,CARDIOGENIC SHOCK SEC. TO ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2024 - 5,Mortality,OUT OF HOSPITAL CARDIAC ARREST; T/C SEPTIC SHOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024 - 5,Mortality,CVD INFARCT,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2024 - 5,Mortality,HYPOGLYCEMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2024 - 5,Mortality,ASPHYXATION SEC TO STRANGULATION,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2024 - 5,Mortality,HTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
