Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 11,Consultation,FEVER,27,22,95,110,128,103,96,78,36,35,22,24,5,10,7,6,2,3,1,1,2,2,1,1,,1,,1,1,1,8,5
2024 - 11,Consultation,COUGH,50,40,73,59,19,29,6,10,3,1,2,3,,,,2,3,1,1,1,,,1,3,1,,3,4,1,2,14,16
2024 - 11,Consultation,VOMITING,8,5,30,33,24,21,10,12,3,6,8,7,,2,,3,1,,1,1,2,,1,3,,1,1,,2,3,1,5
2024 - 11,Consultation,ABDOMINAL PAIN,1,,6,8,20,19,19,11,5,10,10,11,4,4,4,10,2,3,2,4,2,1,4,3,,4,1,3,,2,1,4
2024 - 11,Consultation,DOB,11,9,10,14,9,4,8,7,4,9,2,6,2,5,1,8,2,1,3,1,1,3,4,4,3,3,3,4,3,6,11,10
2024 - 11,Consultation,RASHES,1,1,19,4,23,9,12,10,1,5,2,6,1,3,3,3,2,4,,1,1,,,,,1,,1,,,,3
2024 - 11,Consultation,LACERATED WOUND,,,13,9,15,3,4,,7,5,10,1,3,2,1,1,4,2,2,3,3,,1,,,4,1,,2,1,2,1
2024 - 11,Consultation,LBM,9,5,26,11,7,4,2,2,2,,2,6,,2,,3,2,,,,3,,,,1,,1,,,,1,4
2024 - 11,Consultation,DIZZINESS,,,,,,,5,,2,2,2,3,3,4,2,5,2,2,5,2,2,5,2,5,1,9,6,3,4,7,3,4
2024 - 11,Consultation,SOB,5,4,14,11,6,6,1,,1,4,1,1,1,2,,2,1,1,,2,,1,,2,2,,1,,,5,8,5
2024 - 11,Diagnosis,PCAP,66,45,78,88,22,20,7,5,3,2,1,,,,,,,,1,,,,,,,,,,,,10,12
2024 - 11,Diagnosis,DFS,2,3,15,14,31,31,52,41,19,22,6,15,2,10,5,4,1,1,1,1,2,,,1,,,,,,,2,
2024 - 11,Diagnosis,UTI,2,,6,12,16,12,4,13,1,17,4,11,1,11,2,16,1,7,1,4,1,4,,5,,7,2,4,,5,1,6
2024 - 11,Diagnosis,ACUTE GASTROENTERITIS,10,7,19,12,3,1,2,2,5,4,7,11,,1,,5,1,1,,2,2,,,,,,1,1,,,3,4
2024 - 11,Diagnosis,LACERATED WOUND,,,14,8,16,1,5,,6,4,10,1,3,1,1,1,3,3,2,3,2,,,,1,3,1,,2,,1,
2024 - 11,Diagnosis,SVI,1,1,12,3,11,6,10,10,2,2,5,3,2,2,,1,1,,,1,,,1,,,1,,,,1,,
2024 - 11,Diagnosis,CAP,,,,,1,,1,,,,2,2,1,,1,2,2,2,3,1,,,2,2,4,2,5,5,2,6,8,3
2024 - 11,Diagnosis,ACID PEPTIC DISEASE,,,,,,1,,,2,,4,3,3,7,2,7,1,4,2,,1,2,2,2,,1,1,,,3,,3
2024 - 11,Diagnosis,HTN,,,,,,,,,,,,,,,3,3,3,1,1,1,5,4,3,2,2,3,1,1,3,2,4,5
2024 - 11,Diagnosis,BAIAE,,,5,3,9,3,2,1,3,1,1,2,1,,,1,,2,,,,3,,2,,1,,1,,1,1,1
2024 - 11,Mortality,DOA,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,2,
2024 - 11,Mortality,CARDIOGENIC SHOCK ,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1
2024 - 11,Mortality,ACUTE RESPIRATORY FAILURE,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,
2024 - 11,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,
2024 - 11,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1
2024 - 11,Mortality,HOSPITAL ACQUIRED PNEUMONIA HTN ST. 1DMT2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2024 - 11,Mortality,T/C ASPIRATION PNEUMONIA; G6PD DEFICIENCY; PRONOUNCED BY DR ALEJANDRO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 - 11,Mortality,HERNIATION SYNDROME SECONDARY TO INTRACEREBRAL HEMORRHAGE BILATERAL CHRONIC DISEASE SECONDARY TO HYPERTENSIVE NEPHROSCLEROSIS PROBABLE ACUTE CORONARY SYNDROME; CAP-HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2024 - 11,Mortality,TYPE 2 MYOCARDIAL INFARCTION SEPTIC SHOCK INTRAABDOMINAL ABSCESS; ACUTE RESPIRATORY FAILURE,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024 - 11,Mortality,UREMIC SYNDROME SEC TO CKD SEC TO DIABETIC KIDNEY DISEASE ; CAP-HR ; COVID NEGATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
