Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2023 - 11,Consultation,ABDOMINAL PAIN,,1,2,11,17,17,15,4,4,14,9,16,3,9,5,7,6,4,1,4,4,6,2,6,,2,,4,,2,3,3
2023 - 11,Consultation,BODY WEAKNESS,,,,1,,1,1,,3,2,2,,2,1,2,4,,,1,5,7,2,1,1,3,4,,1,1,3,5,6
2023 - 11,Consultation,COUGH,52,41,64,58,42,44,19,15,5,5,3,7,4,6,3,1,1,6,2,4,,2,3,1,1,4,,2,3,2,5,4
2023 - 11,Consultation,DOB,4,4,2,9,5,7,3,4,6,2,4,1,,,,4,4,1,3,3,4,2,7,6,5,4,2,5,3,6,7,12
2023 - 11,Consultation,FEVER,38,27,134,106,96,96,59,39,32,18,13,16,13,9,5,5,1,1,3,4,,2,1,1,3,,1,2,1,,2,2
2023 - 11,Consultation,LACERATED WOUND,,,8,5,8,9,4,6,4,1,6,2,,,2,,,,,2,1,,1,,1,1,1,,3,1,,1
2023 - 11,Consultation,LBM,4,7,11,17,5,11,3,2,2,1,,4,1,,,2,1,1,,1,,,,,,,,,,1,1,1
2023 - 11,Consultation,RASHES,9,3,20,11,12,15,3,6,2,1,,3,1,4,,2,,1,1,,,,,1,,,,,,,,
2023 - 11,Consultation,SOB,3,3,8,6,3,6,3,4,1,4,2,2,,1,,,,3,,,2,,1,2,1,1,2,,1,,4,2
2023 - 11,Consultation,VOMITING ,11,5,36,37,27,20,10,8,3,2,4,4,,3,,3,,,1,1,,1,1,1,1,4,1,,,1,2,2
2023 - 11,Diagnosis,ACS- NSTEMI,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2023 - 11,Diagnosis,ACUTE GASTRITIS,1,,8,8,2,2,4,,2,1,1,,,,,1,,,,,,,,1,,,,,,,,
2023 - 11,Diagnosis,AGE,6,4,15,14,12,6,3,2,2,,2,3,2,1,1,2,1,,1,1,,,,,,,,,,,,
2023 - 11,Diagnosis,BAIAE,,,1,1,1,1,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,2
2023 - 11,Diagnosis,CAP,,,,1,1,1,,,1,,3,3,4,3,,1,,3,1,2,1,2,4,1,2,2,1,3,3,3,7,15
2023 - 11,Diagnosis,DENGUE FEVER,,,2,6,13,29,24,13,12,11,4,6,2,3,,2,1,2,,,,,,,,,,1,,,,
2023 - 11,Diagnosis,PCAP,42,22,67,52,30,28,7,9,4,1,,,,,,,,,,,,1,,1,,,,,,,1,
2023 - 11,Diagnosis,SVI,,1,5,8,3,2,6,2,2,2,2,,1,,,,,,,,1,,,,2,,,,,,,1
2023 - 11,Diagnosis,URTI,2,2,7,10,7,5,4,4,3,3,,,,,1,,,,1,,,,,,,,,,,,,
2023 - 11,Diagnosis,UTI,4,,10,14,6,15,5,5,1,11,1,11,1,4,2,3,1,1,,1,1,3,2,4,2,1,,3,,3,1,2
2023 - 11,Mortality,DEAD ON ARRIVAL,1,1,1,,,,,,,,,,1,,2,,,,,,,,,1,,,1,1,,1,3,2
2023 - 11,Mortality,"ACUTE RESPIRATORY FAILURE , MASSIVE PLEURAL EFFUSION , COMMUNITY AQUIRED PNEUMONIA HIGH RISK",,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
2023 - 11,Mortality,"CAP-HR, ACUTE DECOMPENSATED HEART FAILURE, HASCVD, CAD, DMT2, CFD (RAT NEGATIVE, AWAITS RT-PCR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2023 - 11,Mortality,COMPLEX FEBRILE SEIZURE; PNEUMONIA SEVER,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 11,Mortality,FATAL ARRHYTHMIA; HEART FAILURE WITH REDUCED EJECTION FRACTION SEC. TO CAD; UGIB SEC TO ANTI-PLATELET  USE; S/P PCI (2019),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2023 - 11,Mortality,HYPOVOLEMIC SHOCK SEC TO GASTROINTESTINAL BLEEDING PROB SEC TO COLONIC NEW GROWTH; CAP-HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 11,Mortality,"SEPTIC SHOCK IN ARF; COPDIAE, CAP-HR; T2DM, HASCVD; HYPERGLYCEMIC CRISIS PROB. SEC. TO INFECTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023 - 11,Mortality,SEVERE ACIDOSIS RESPIRATORY DISTRESS SYNDROME SEVERE PREMATURITY VERY LOW BRTH WEIGH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 - 11,Mortality,SHOCK MULTIFACTORIAL IN ARF SEC TO,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
2023 - 11,Mortality,ACS-NSTEMI CARDIOGENIC SHOCK,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1
2023 - 11,Mortality,,2,1,1,1,,,,,,,,,1,,2,,,,,1,1,,1,3,,,1,1,1,1,4,4
