Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2024 - 10,Consultation,FEVER,23,14,93,101,81,69,54,43,23,17,11,9,7,7,5,5,,3,2,3,1,2,1,2,1,2,,2,1,3,5,6
2024 - 10,Consultation,COUGH,40,27,52,49,20,23,6,5,4,1,2,6,,1,,,1,3,2,1,,,,,1,2,,2,1,,13,14
2024 - 10,Consultation,VOMITING,4,2,40,28,33,23,13,6,4,7,4,8,1,1,1,1,2,1,,1,2,1,1,3,,1,3,2,1,1,5,2
2024 - 10,Consultation,DOB,10,9,14,9,8,5,6,4,9,4,2,6,2,1,4,3,4,3,6,2,8,4,8,1,5,1,3,2,2,4,18,21
2024 - 10,Consultation,ABDOMINAL PAIN,,1,4,9,12,20,8,12,2,7,4,7,,5,1,2,1,4,3,2,,,3,,2,,2,3,,,,3
2024 - 10,Consultation,EPIGASTRIC PAIN,,,1,,1,3,3,6,4,7,2,15,1,7,2,11,3,9,2,8,,2,,5,,3,,9,1,1,2,3
2024 - 10,Consultation,RASHES,3,4,13,11,10,8,11,7,4,4,2,3,1,7,,4,1,,2,2,,,,2,2,2,,1,,,4,2
2024 - 10,Consultation,LBM,18,8,26,11,8,1,5,1,,1,2,,1,3,,,,1,1,,,,1,1,2,1,,,1,2,6,8
2024 - 10,Consultation,DIZZINESS,,,,,2,,3,7,3,1,3,4,1,3,2,1,1,8,3,1,3,7,5,5,2,9,2,5,3,9,3,6
2024 - 10,Consultation,SOB,5,7,24,15,4,6,,3,1,1,1,5,1,2,1,2,,,,,2,,,,1,3,4,,1,,3,3
2024 - 10,Diagnosis,PCAP,66,42,125,94,26,32,10,7,4,1,,,,,,,,,,,,,,,,,,,,,6,6
2024 - 10,Diagnosis,DENGUE FEVER,2,,10,10,27,19,38,24,24,16,8,12,4,5,3,5,2,1,2,1,1,,,,1,,,,,1,1,
2024 - 10,Diagnosis,URTI,8,10,32,45,29,14,8,8,6,3,3,5,,1,,2,,2,,,,,3,1,,,,1,,,1,3
2024 - 10,Diagnosis,UTI,2,1,2,12,5,31,8,12,1,10,5,19,4,7,1,20,,7,,7,,3,,4,,3,,6,1,3,3,5
2024 - 10,Diagnosis,AGE,16,7,42,18,11,6,5,4,,1,2,2,1,3,,,1,1,2,1,1,,1,4,3,,2,2,,1,3,7
2024 - 10,Diagnosis,SVI,1,2,23,14,22,13,16,13,3,3,5,4,3,2,1,2,,2,1,1,1,1,,1,1,2,,1,,,3,
2024 - 10,Diagnosis,LACERATED WOUND,,,11,2,11,4,4,3,4,1,5,1,4,2,1,2,2,,4,1,2,2,,,3,1,2,,,2,1,4
2024 - 10,Diagnosis,ACID PEPTIC DISEASE,,,,,2,1,2,4,2,3,5,6,1,6,2,4,4,6,3,6,1,2,1,5,,1,,1,1,2,1,5
2024 - 10,Diagnosis,CAP,,,,,1,,,,,,3,2,3,1,,1,3,,2,2,2,,5,1,4,4,1,3,4,3,9,15
2024 - 10,Diagnosis,HTN URGENCY,,,,,,1,,,1,,1,,1,,2,,1,2,,6,1,6,1,2,,6,2,3,,2,3,2
2024 - 10,Mortality,CARDIOGENIC SHOCK,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,2,
2024 - 10,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,1,
2024 - 10,Mortality,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,2
2024 - 10,Mortality,DEAD ON ARRIVAL,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1
2024 - 10,Mortality,COMMUNITY ACQUIRED PNEUMONIA-HIGH RISK;ACUTE CORONARY SYNDROME-NON ST ELEVATION; MYOCARDIAL INFARCTION; PRESUMPTIVE PULMOPNARY TUBERCOLOSIS IN RELAPSE;ANEMIA OF CHORNIC DISEASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024 - 10,Mortality,SUDDEN INFANT DEATH SYNDROME - DEAD ON ARRIVAL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 - 10,Mortality,COVID 19- PNEUMONIA- CRITICAL; SEPTIC SHOCK; HASCVD; S/P ARREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024 - 10,Mortality,OUT OF HOSPITAL CARDIAC ARREST SEC TO MOTOR VEHICLE ACCIDENT (MOTOR VS. CONTAINER VAN),,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2024 - 10,Mortality,"BRAIN HERNATION SYNDROME,MULTIPLE CVD INFARCT WITH SUBARACHNOID HEMMORHAGE COMPONENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2024 - 10,Mortality,"MULTIFACTORIAL SHOCK (SEPTIC AND CARDIOGENIC) PNEUMONIA HIGH RISK, ACS NSTEMI, AKI ON TOP OF PROBABLE CHRONIC KIDNEY DISEASE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
