Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & ABOVE,
,,,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M
,,FEVER,18,22,61,70,45,44,9,16,6,7,8,7,2,4,,1,2,,,1,,3,1,1,,,,,1,,2,2
,,FOR SWAB (PATIENT'S WATCHER),,,,,,,,,5,1,42,12,37,8,52,14,34,8,23,12,12,9,15,9,7,2,4,1,4,1,2,1
,,VOMITING,6,10,53,44,12,19,6,7,2,4,7,,2,3,1,1,,3,,,1,,1,,,,2,1,,1,1,1
,,ABDOMINAL PAIN,,,12,8,12,13,6,4,10,2,4,4,6,1,6,1,6,2,2,1,,3,,2,1,,1,1,2,,2,3
,,DOB,3,7,6,11,3,2,1,8,7,1,5,3,3,2,2,,4,1,,,3,,1,3,4,5,3,2,3,2,14,6
,,LBM,14,18,24,25,2,5,2,,2,1,1,1,2,,1,,,,2,,,,,,,,1,1,1,,,
,,COUGH,10,26,5,17,2,3,2,,,1,1,3,,,1,,,,,,,,2,,,,1,,,,,1
,,COUGH & COLDS,14,18,17,11,3,5,2,2,,1,,,,,,,,,,,,,,,1,,,,,1,,
,,FALL,3,6,6,13,6,6,,4,,1,1,,1,,,,,,,,,,1,,,1,4,2,1,1,3,
,,CHEST PAIN,,,1,,3,1,2,2,3,3,3,1,3,3,2,,1,2,2,1,,,1,3,2,1,5,3,,,3,3
,,EPIGASTRIC PAIN,,,,1,6,5,3,1,2,1,4,2,1,,3,3,6,1,,,,1,,,2,2,1,,,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & ABOVE,
,,,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M
,,"ACUTE RESPIRATORY FAILURE SECONDARY TO CAP-HR, SEPTIC SHOCK; COVID NEGATIVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,CARDIOGENIC SHOCK SEC TO ACS NSTEMI; CAP-HR; CVD INFARCT; COVID PROBABLE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
,,"CKD STAGE V; ESRD; OUT OF HOSPITAL CARDIAC ARREST, NON COVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,DEAD ON ARRIVAL PROBABLY NEONATAL ASPHYXIA; NON COVID,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OUT OF HOSPITAL CARDIAC ARREST; NON COVID,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
,,SUDDEN INFANT DEATH SYNDROME; NON COVID; DEAD ON ARRIVAL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T/C CVD BLEED VS INFARCT, OUT OF HOSPITAL CARDIAC ARREST, NON COVID",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,ACUTE MYOCARDIAL INFARCTION OUT OF HOSPITAL CARDIAC ARREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,,"CARDIOGENIC SHOCK SECONDARY TO ACUTE MYOCARDIAL INFARCTION, ACUTE ABDOMEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,"PCAP-D, ACUTE RESPIRATORY DISTRESS SYNDROME",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ACUTE CORONARY SYNDROME NSTEMI,END STAGE RENAL DISEASE, CONGESTIVE HEART FAILURE",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
