Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & ABOVE,
,,,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M
,,FEVER,22,25,74,78,56,46,15,20,7,7,3,4,5,3,4,,2,1,,2,1,2,1,4,3,1,,1,,,1,
,,FOR RAT ,1,,,,1,,1,2,7,11,47,17,39,13,45,19,34,11,25,9,24,3,23,9,19,2,5,1,4,2,1,
,,VOMITING,13,20,60,60,17,26,7,3,4,2,3,2,1,4,,,1,,,1,,,,2,2,1,1,,2,1,3,1
,,ABDOMINAL PIAN,,,16,16,21,31,17,4,16,9,9,5,6,4,1,6,2,3,5,3,3,3,1,4,2,1,2,3,1,,1,3
,,DOB,5,6,4,7,4,6,4,3,2,1,7,2,3,2,7,5,1,2,2,4,4,4,1,5,3,5,5,6,2,6,8,12
,,LBM,16,23,23,40,4,4,1,1,2,,,,4,1,3,1,3,2,,,,,1,1,,,,,,,1,1
,,COUGH,10,24,14,23,11,5,3,3,2,1,1,,3,1,1,,,,2,1,,,,1,1,1,1,1,2,,4,2
,,COUGH AND COLDS,8,12,17,16,12,5,3,1,,2,,,1,,,,,1,1,1,1,,,,,,,,,,,
,,DIZZINESS,,,,,3,,9,1,4,3,3,1,3,5,2,,4,3,3,3,1,,1,2,4,2,5,2,4,2,5,3
,,FALL,1,2,12,13,4,8,3,7,1,2,,1,,1,,2,,,,,,2,1,,2,,1,,1,,2,2
,,LACERATED WOUND,,1,4,11,5,13,3,2,2,2,2,4,1,3,1,3,,,,2,1,1,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & ABOVE,
,,,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M
,,ARF SEC TO CAP-LR; COR PULMONALE; COVID PROBABLE,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,"ARF SECONDARY TO CAP-HR, PTB PRESUMPTIVE, COVID PROBABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,CVD; HYPERTENSIVE BLEED,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,"HYPOVOLEMIC SHOCK SEC TO HEPATIC CARCINOMA, CHRONIC HEPATITIS, COVID 19 PROBABLE",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,OUT OF HOSPITAL CARDIAC ARREST; NON-COVID,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1
,,"PNEUMONIA SEVERE, SEPTIC SHOCK, DIABETIC KETOACIDOSIS SEVERE, COVID PROBABLE, RAT NEGATIV",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SEPTIC SHOCK SEC TO CAP HR ASPIRATION PNEUMONIA, ACUTE CARDIOVASCULAR DSES, HYPOGASTRIC MASS T/C MALIGNANCY COVID 19  PROB ",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,"SEPTIC SHOCK SECONDARY TO CAP-HR, PTB MDR, COVID NEGATIVE",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,SUBACURE CVD INFARCT; RAT NEGATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,"T/C ACS; HYPOVOLEMIC SHOCK PROB SEC TO UGIB, S/P ARREST 2 CYCLES, COVID PROBABLE RAT NEGATIVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
