Month_year,Consultation_Type,Case,Age_Sex,Count,Age_Group,Sex,Age_Group_Num
2023 - 4,1,1,Under 1 Male,29.0,Under 1,Male,0
2023 - 4,1,3,Under 1 Male,12.0,Under 1,Male,0
2023 - 4,1,4,Under 1 Male,1.0,Under 1,Male,0
2023 - 4,1,5,Under 1 Male,30.0,Under 1,Male,0
2023 - 4,1,6,Under 1 Male,13.0,Under 1,Male,0
2023 - 4,1,7,Under 1 Male,5.0,Under 1,Male,0
2023 - 4,1,9,Under 1 Male,15.0,Under 1,Male,0
2023 - 4,2,11,Under 1 Male,29.0,Under 1,Male,0
2023 - 4,2,13,Under 1 Male,12.0,Under 1,Male,0
2023 - 4,2,14,Under 1 Male,1.0,Under 1,Male,0
2023 - 4,2,15,Under 1 Male,30.0,Under 1,Male,0
2023 - 4,2,16,Under 1 Male,13.0,Under 1,Male,0
2023 - 4,2,17,Under 1 Male,5.0,Under 1,Male,0
2023 - 4,2,19,Under 1 Male,15.0,Under 1,Male,0
2023 - 4,3,22,Under 1 Male,1.0,Under 1,Male,0
2023 - 4,3,26,Under 1 Male,1.0,Under 1,Male,0
2023 - 8,1,1,Under 1 Male,22.0,Under 1,Male,0
2023 - 8,1,3,Under 1 Male,6.0,Under 1,Male,0
2023 - 8,1,9,Under 1 Male,34.0,Under 1,Male,0
2023 - 8,1,7,Under 1 Male,8.0,Under 1,Male,0
2023 - 8,1,5,Under 1 Male,21.0,Under 1,Male,0
2023 - 8,2,34,Under 1 Male,23.0,Under 1,Male,0
2023 - 8,2,12,Under 1 Male,5.0,Under 1,Male,0
2023 - 8,2,35,Under 1 Male,27.0,Under 1,Male,0
2023 - 8,2,15,Under 1 Male,4.0,Under 1,Male,0
2023 - 8,2,37,Under 1 Male,1.0,Under 1,Male,0
2023 - 8,2,16,Under 1 Male,2.0,Under 1,Male,0
2023 - 8,3,41,Under 1 Male,1.0,Under 1,Male,0
2023 - 12,1,1,Under 1 Male,39.0,Under 1,Male,0
2023 - 12,1,6,Under 1 Male,38.0,Under 1,Male,0
2023 - 12,1,3,Under 1 Male,13.0,Under 1,Male,0
2023 - 12,1,7,Under 1 Male,7.0,Under 1,Male,0
2023 - 12,1,5,Under 1 Male,13.0,Under 1,Male,0
2023 - 12,1,48,Under 1 Male,4.0,Under 1,Male,0
2023 - 12,2,35,Under 1 Male,23.0,Under 1,Male,0
2023 - 12,2,11,Under 1 Male,11.0,Under 1,Male,0
2023 - 12,2,15,Under 1 Male,1.0,Under 1,Male,0
2023 - 12,2,14,Under 1 Male,1.0,Under 1,Male,0
2023 - 12,2,16,Under 1 Male,1.0,Under 1,Male,0
2023 - 12,2,51,Under 1 Male,2.0,Under 1,Male,0
2023 - 7,1,1,Under 1 Male,35.0,Under 1,Male,0
2023 - 7,1,3,Under 1 Male,13.0,Under 1,Male,0
2023 - 7,1,7,Under 1 Male,6.0,Under 1,Male,0
2023 - 7,1,6,Under 1 Male,19.0,Under 1,Male,0
