Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
,,88,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,18,22,61,70,45,44,9,16,6,7,8,7,2,4,,1,2,,,1,,3,1,1,,,,,1,,2,2
,,89,,,,,,,,,5,1,42,12,37,8,52,14,34,8,23,12,12,9,15,9,7,2,4,1,4,1,2,1
,,3,6,10,53,44,12,19,6,7,2,4,7,,2,3,1,1,,3,,,1,,1,,,,2,1,,1,1,1
,,4,,,12,8,12,13,6,4,10,2,4,4,6,1,6,1,6,2,2,1,,3,,2,1,,1,1,2,,2,3
,,7,3,7,6,11,3,2,1,8,7,1,5,3,3,2,2,,4,1,,,3,,1,3,4,5,3,2,3,2,14,6
,,5,14,18,24,25,2,5,2,,2,1,1,1,2,,1,,,,2,,,,,,,,1,1,1,,,
,,6,10,26,5,17,2,3,2,,,1,1,3,,,1,,,,,,,,2,,,,1,,,,,1
,,90,14,18,17,11,3,5,2,2,,1,,,,,,,,,,,,,,,1,,,,,1,,
,,91,3,6,6,13,6,6,,4,,1,1,,1,,,,,,,,,,1,,,1,4,2,1,1,3,
,,33,,,1,,3,1,2,2,3,3,3,1,3,3,2,,1,2,2,1,,,1,3,2,1,5,3,,,3,3
,,8,,,,1,6,5,3,1,2,1,4,2,1,,3,3,6,1,,,,1,,,2,2,1,,,1,4,
,,88,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,93,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
,,97,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,98,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,88,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,22,25,74,78,56,46,15,20,7,7,3,4,5,3,4,,2,1,,2,1,2,1,4,3,1,,1,,,1,
,,103,1,,,,1,,1,2,7,11,47,17,39,13,45,19,34,11,25,9,24,3,23,9,19,2,5,1,4,2,1,
,,3,13,20,60,60,17,26,7,3,4,2,3,2,1,4,,,1,,,1,,,,2,2,1,1,,2,1,3,1
,,104,,,16,16,21,31,17,4,16,9,9,5,6,4,1,6,2,3,5,3,3,3,1,4,2,1,2,3,1,,1,3
,,7,5,6,4,7,4,6,4,3,2,1,7,2,3,2,7,5,1,2,2,4,4,4,1,5,3,5,5,6,2,6,8,12
,,5,16,23,23,40,4,4,1,1,2,,,,4,1,3,1,3,2,,,,,1,1,,,,,,,1,1
,,6,10,24,14,23,11,5,3,3,2,1,1,,3,1,1,,,,2,1,,,,1,1,1,1,1,2,,4,2
,,9,8,12,17,16,12,5,3,1,,2,,,1,,,,,1,1,1,1,,,,,,,,,,,
,,10,,,,,3,,9,1,4,3,3,1,3,5,2,,4,3,3,3,1,,1,2,4,2,5,2,4,2,5,3
,,91,1,2,12,13,4,8,3,7,1,2,,1,,1,,2,,,,,,2,1,,2,,1,,1,,2,2
,,17,,1,4,11,5,13,3,2,2,2,2,4,1,3,1,3,,,,2,1,1,,,,,,,,1,,
,,88,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,107,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,108,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,109,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1
,,110,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,112,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,23,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
2023 - 4,1.0,1,29.0,29.0,93.0,66.0,55.0,56.0,14.0,7.0,6.0,2.0,4.0,2.0,2.0,7.0,,2.0,3.0,,1.0,,,,,,4.0,2.0,1.0,,,,1.0,2.0
2023 - 4,1.0,2,,,,,1.0,,6.0,,2.0,3.0,12.0,33.0,10.0,48.0,13.0,44.0,9.0,34.0,3.0,32.0,9.0,14.0,3.0,16.0,6.0,13.0,2.0,6.0,1.0,2.0,1.0,1.0
2023 - 4,1.0,3,12.0,12.0,37.0,39.0,25.0,16.0,,6.0,4.0,1.0,,2.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,3.0,,,,,2.0
2023 - 4,1.0,4,1.0,,12.0,15.0,14.0,14.0,11.0,7.0,7.0,6.0,2.0,10.0,4.0,7.0,,6.0,3.0,5.0,2.0,1.0,1.0,2.0,,3.0,2.0,2.0,1.0,5.0,2.0,,2.0,3.0
2023 - 4,1.0,5,30.0,14.0,42.0,19.0,5.0,6.0,3.0,3.0,1.0,1.0,,4.0,2.0,,,1.0,1.0,2.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0
2023 - 4,1.0,6,13.0,18.0,26.0,19.0,8.0,11.0,,2.0,2.0,2.0,,1.0,,2.0,1.0,,,1.0,2.0,,1.0,,,1.0,,2.0,,2.0,1.0,,1.0,6.0
2023 - 4,1.0,7,5.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,,1.0,6.0,3.0,3.0,3.0,2.0,2.0,,2.0,4.0,2.0,3.0,1.0,2.0,2.0,7.0,3.0,4.0,5.0,4.0,4.0,7.0,7.0
2023 - 4,1.0,8,,,2.0,3.0,4.0,3.0,3.0,4.0,3.0,9.0,1.0,9.0,3.0,6.0,,3.0,1.0,5.0,,5.0,1.0,1.0,,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,3.0
2023 - 4,1.0,9,15.0,10.0,32.0,9.0,1.0,6.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,
2023 - 4,1.0,10,,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,,5.0,3.0,4.0,2.0,,6.0,1.0,1.0,4.0,1.0,5.0
2023 - 4,2.0,11,29.0,29.0,57.0,28.0,13.0,6.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,,,2.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,3.0,,2.0,,
2023 - 4,2.0,12,,,17.0,23.0,10.0,29.0,3.0,6.0,5.0,6.0,,9.0,3.0,7.0,,8.0,2.0,6.0,1.0,2.0,,2.0,3.0,3.0,,3.0,2.0,3.0,1.0,3.0,1.0,7.0
