Year,Month,Consultation_Type,Case,Sex,Age_range,Total
2023,4,1,1,1,0,29.0
2023,4,1,2,1,0,
2023,4,1,3,1,0,12.0
2023,4,1,4,1,0,1.0
2023,4,1,5,1,0,30.0
2023,4,1,6,1,0,13.0
2023,4,1,7,1,0,5.0
2023,4,1,8,1,0,
2023,4,1,9,1,0,15.0
2023,4,1,10,1,0,
2023,4,2,11,1,0,29.0
2023,4,2,12,1,0,
2023,4,2,13,1,0,12.0
2023,4,2,14,1,0,1.0
2023,4,2,15,1,0,30.0
2023,4,2,16,1,0,13.0
2023,4,2,17,1,0,5.0
2023,4,2,18,1,0,
2023,4,2,19,1,0,15.0
2023,4,2,20,1,0,
2023,4,3,21,1,0,
2023,4,3,22,1,0,1.0
2023,4,3,23,1,0,
2023,4,3,24,1,0,
2023,4,3,25,1,0,
2023,4,3,26,1,0,1.0
2023,4,3,27,1,0,
2023,4,3,28,1,0,
2023,4,3,29,1,0,
2023,4,3,30,1,0,
2023,4,3,31,1,0,
2023,4,3,32,1,0,
2024,4,1,1,1,0,21.0
2024,4,1,3,1,0,19.0
2024,4,1,4,1,0,
2024,4,1,5,1,0,11.0
2024,4,1,6,1,0,25.0
2024,4,1,7,1,0,4.0
2024,4,1,10,1,0,
2024,4,1,8,1,0,
2024,4,1,17,1,0,
2024,4,1,33,1,0,
2024,4,2,11,1,0,22.0
2024,4,2,34,1,0,30.0
2024,4,2,12,1,0,4.0
2024,4,2,35,1,0,
2024,4,2,20,1,0,
2024,4,2,17,1,0,
2024,4,2,16,1,0,4.0
2024,4,2,36,1,0,
2024,4,2,14,1,0,8.0
2024,4,2,37,1,0,1.0
2024,4,3,23,1,0,
2024,4,3,38,1,0,
2024,4,3,22,1,0,
2024,4,3,21,1,0,
2024,4,3,39,1,0,
2024,4,3,40,1,0,
2024,4,3,41,1,0,1.0
2024,4,3,42,1,0,
2024,4,3,43,1,0,
2024,4,3,44,1,0,1.0
2024,7,1,1,1,0,32.0
2024,7,1,3,1,0,8.0
2024,7,1,6,1,0,15.0
2024,7,1,4,1,0,
2024,7,1,7,1,0,3.0
2024,7,1,5,1,0,19.0
2024,7,1,10,1,0,
2024,7,1,8,1,0,
2024,7,1,33,1,0,
2024,7,1,45,1,0,1.0
2024,7,2,46,1,0,26.0
2024,7,2,12,1,0,5.0
2024,7,2,11,1,0,21.0
2024,7,2,14,1,0,12.0
2024,7,2,47,1,0,
2024,7,2,20,1,0,
2024,7,2,48,1,0,
2024,7,2,16,1,0,6.0
2024,7,2,49,1,0,2.0
2024,7,2,15,1,0,
2024,7,3,23,1,0,
2024,7,3,22,1,0,
2024,7,3,50,1,0,
2024,7,3,38,1,0,
2024,7,3,51,1,0,
2024,7,3,52,1,0,
2024,7,3,47,1,0,
2024,7,3,53,1,0,
2024,7,3,54,1,0,
2024,7,3,55,1,0,
2024,6,1,1,1,0,14.0
2024,6,1,3,1,0,13.0
2024,6,1,4,1,0,
2024,6,1,7,1,0,3.0
2024,6,1,5,1,0,20.0
2024,6,1,17,1,0,1.0
2024,6,1,8,1,0,
2024,6,1,10,1,0,
2024,6,1,6,1,0,9.0
2024,6,1,33,1,0,
2024,6,2,11,1,0,23.0
2024,6,2,34,1,0,17.0
2024,6,2,12,1,0,2.0
2024,6,2,48,1,0,
2024,6,2,17,1,0,1.0
2024,6,2,20,1,0,1.0
2024,6,2,16,1,0,1.0
2024,6,2,15,1,0,2.0
2024,6,2,36,1,0,
2024,6,2,14,1,0,4.0
2024,6,3,38,1,0,2.0
2024,6,3,23,1,0,
2024,6,3,56,1,0,1.0
2024,6,3,57,1,0,
2024,6,3,58,1,0,
2024,6,3,59,1,0,
2024,6,3,60,1,0,
2024,6,3,61,1,0,
2024,6,3,62,1,0,
2024,6,3,63,1,0,
2024,3,1,1,1,0,24.0
2024,3,1,3,1,0,19.0
2024,3,1,6,1,0,37.0
2024,3,1,4,1,0,1.0
2024,3,1,5,1,0,17.0
2024,3,1,7,1,0,6.0
2024,3,1,10,1,0,
2024,3,1,8,1,0,1.0
2024,3,1,33,1,0,
2024,3,1,45,1,0,6.0
2024,3,2,34,1,0,35.0
2024,3,2,11,1,0,23.0
2024,3,2,12,1,0,1.0
2024,3,2,17,1,0,
2024,3,2,64,1,0,1.0
2024,3,2,65,1,0,1.0
2024,3,2,37,1,0,2.0
2024,3,2,15,1,0,
2024,3,2,66,1,0,
2024,3,2,67,1,0,
2024,3,3,23,1,0,
2024,3,3,22,1,0,
2024,3,3,68,1,0,1.0
2024,3,3,38,1,0,
2024,3,3,69,1,0,
2024,3,3,70,1,0,
2024,3,3,71,1,0,
2024,3,3,72,1,0,
2024,3,3,73,1,0,
2024,3,3,74,1,0,
2024,8,1,1,1,0,1.0
2024,8,1,7,1,0,1.0
2024,8,1,3,1,0,1.0
2024,8,1,4,1,0,
2024,8,1,8,1,0,
2024,8,1,6,1,0,1.0
2024,8,1,10,1,0,
2024,8,1,75,1,0,1.0
2024,8,1,5,1,0,
2024,8,1,45,1,0,1.0
2024,8,2,12,1,0,
2024,8,2,46,1,0,1.0
2024,8,2,11,1,0,1.0
2024,8,2,35,1,0,
2024,8,2,76,1,0,
2024,8,2,47,1,0,
2024,8,2,14,1,0,1.0
2024,8,2,16,1,0,
2024,8,2,20,1,0,
2024,8,2,17,1,0,
2024,8,3,77,1,0,
2024,8,3,23,1,0,
2024,8,3,22,1,0,
2024,8,3,51,1,0,
2024,8,3,78,1,0,
2024,8,3,79,1,0,
2024,8,3,50,1,0,
2024,8,3,80,1,0,
2024,8,3,81,1,0,
2024,11,1,1,1,0,27.0
2024,11,1,6,1,0,50.0
2024,11,1,3,1,0,8.0
2024,11,1,4,1,0,1.0
2024,11,1,7,1,0,11.0
2024,11,1,75,1,0,1.0
2024,11,1,17,1,0,
2024,11,1,5,1,0,9.0
2024,11,1,10,1,0,
2024,11,1,45,1,0,5.0
2024,11,2,46,1,0,66.0
2024,11,2,76,1,0,2.0
2024,11,2,12,1,0,2.0
2024,11,2,82,1,0,10.0
2024,11,2,17,1,0,
2024,11,2,16,1,0,1.0
2024,11,2,47,1,0,
2024,11,2,35,1,0,
2024,11,2,36,1,0,
2024,11,2,65,1,0,
2024,11,3,38,1,0,1.0
2024,11,3,78,1,0,
2024,11,3,51,1,0,
2024,11,3,23,1,0,
2024,11,3,22,1,0,
2024,11,3,83,1,0,
2024,11,3,84,1,0,1.0
2024,11,3,85,1,0,
2024,11,3,86,1,0,
2024,11,3,87,1,0,
2023,4,1,1,0,0,29.0
2023,4,1,2,0,0,
2023,4,1,3,0,0,12.0
2023,4,1,4,0,0,
2023,4,1,5,0,0,14.0
2023,4,1,6,0,0,18.0
2023,4,1,7,0,0,2.0
2023,4,1,8,0,0,
2023,4,1,9,0,0,10.0
2023,4,1,10,0,0,
2023,4,2,11,0,0,29.0
2023,4,2,12,0,0,
2023,4,2,13,0,0,12.0
2023,4,2,14,0,0,
2023,4,2,15,0,0,14.0
2023,4,2,16,0,0,18.0
2023,4,2,17,0,0,2.0
2023,4,2,18,0,0,
2023,4,2,19,0,0,10.0
2023,4,2,20,0,0,
2023,4,3,21,0,0,
2023,4,3,22,0,0,
2023,4,3,23,0,0,
2023,4,3,24,0,0,
2023,4,3,25,0,0,
2023,4,3,26,0,0,
2023,4,3,27,0,0,
2023,4,3,28,0,0,
2023,4,3,29,0,0,
2023,4,3,30,0,0,
2023,4,3,31,0,0,
2023,4,3,32,0,0,
2024,4,1,1,0,0,16.0
2024,4,1,3,0,0,17.0
2024,4,1,4,0,0,
2024,4,1,5,0,0,16.0
2024,4,1,6,0,0,14.0
2024,4,1,7,0,0,2.0
2024,4,1,10,0,0,
2024,4,1,8,0,0,
2024,4,1,17,0,0,1.0
2024,4,1,33,0,0,
2024,4,2,11,0,0,25.0
2024,4,2,34,0,0,21.0
2024,4,2,12,0,0,6.0
2024,4,2,35,0,0,
2024,4,2,20,0,0,
